description,amount,date,account,merchant_key
AMAZON MKTPLACE PMTS,39.0,2025-09-01,chase_amazonprime_6m,AMAZON MKTPLACE PMTS
AMAZON MKTPL*A72M54S83,-17.33,2025-08-30,chase_amazonprime_6m,AMAZON MKTPL A M S
AMAZON MKTPL*Y88WU35S3,-28.78,2025-08-30,chase_amazonprime_6m,AMAZON MKTPL Y WU S
AMAZON MKTPL*AT9GU0Z73,-2.16,2025-08-29,chase_amazonprime_6m,AMAZON MKTPL AT GU Z
AMAZON MKTPL*8C2VO2AY3,-24.04,2025-08-23,chase_amazonprime_6m,AMAZON MKTPL C VO AY
AMAZON MKTPL*PZ8KE82T3,-9.49,2025-08-22,chase_amazonprime_6m,AMAZON MKTPL PZ KE T
AMAZON MKTPL*391TP5593,-19.3,2025-08-22,chase_amazonprime_6m,AMAZON MKTPL TP
AUTOMATIC PAYMENT - THANK,76.65,2025-08-21,chase_amazonprime_6m,-
AMAZON MKTPL*0N5IZ6UE3,-20.85,2025-08-20,chase_amazonprime_6m,AMAZON MKTPL N IZ UE
WHOLEFDS TYA 10424,-13.48,2025-08-17,chase_amazonprime_6m,WHOLEFDS TYA
Amazon.com,18.41,2025-08-17,chase_amazonprime_6m,AMAZON COM
AMAZON MKTPLACE PMTS,21.66,2025-08-17,chase_amazonprime_6m,AMAZON MKTPLACE PMTS
AMAZON MKTPL*W70P17783,-7.58,2025-08-16,chase_amazonprime_6m,AMAZON MKTPL W P
AMAZON MKTPL*I35WM5423,-20.85,2025-08-17,chase_amazonprime_6m,AMAZON MKTPL I WM
AMAZON MKTPL*2E34X9KZ3,-65.76,2025-08-11,chase_amazonprime_6m,AMAZON MKTPL E X KZ
Amazon.com*OW0CN7AA3,-64.87,2025-08-11,chase_amazonprime_6m,AMAZON COM OW CN AA
AMAZON MKTPL*GN2UK0RC3,-7.58,2025-08-11,chase_amazonprime_6m,AMAZON MKTPL GN UK RC
AMAZON PRIME*6E4NS0I43,-14.99,2025-08-11,chase_amazonprime_6m,AMAZON PRIME E NS I
Amazon.com*UU6LS2V13,-3.36,2025-08-10,chase_amazonprime_6m,AMAZON COM UU LS V
AMAZON MKTPL*5N7ZE5DQ3,-29.26,2025-08-10,chase_amazonprime_6m,AMAZON MKTPL N ZE DQ
Amazon.com*ZY1YS7HM3,-18.41,2025-08-09,chase_amazonprime_6m,AMAZON COM ZY YS HM
AMAZON MKTPL*YV90W3HM3,-21.66,2025-08-09,chase_amazonprime_6m,AMAZON MKTPL YV W HM
AMAZON MKTPL*SL6N76HJ3,-37.91,2025-08-09,chase_amazonprime_6m,AMAZON MKTPL SL N HJ
AMAZON MKTPL*5G3SZ72W3,-12.29,2025-08-06,chase_amazonprime_6m,AMAZON MKTPL G SZ W
AMAZON MKTPL*V54M91FP3,-8.4,2025-08-02,chase_amazonprime_6m,AMAZON MKTPL V M FP
Amazon.com*D047F1RM3,-2.4,2025-08-02,chase_amazonprime_6m,AMAZON COM D F RM
AMAZON MKTPLACE PMTS,11.69,2025-07-26,chase_amazonprime_6m,AMAZON MKTPLACE PMTS
AMAZON MKTPL*UI3Y94CK3,-11.69,2025-07-27,chase_amazonprime_6m,AMAZON MKTPL UI Y CK
