transaction_id,item_id,account_id,date,name,merchant_name,amount,pending
ggXqpWZeyRHBAMnPKgwBIGzVKaJeynuEa5a1V,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-08-30,Uber 072515 SF**POOL**,Uber,6.33,False
8rmX6EVL1nsv9kJ8AalvFbpd37mXjnCW484ma,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-08-17,Uber 063015 SF**POOL**,Uber,5.4,False
EQKX7DExyqhbAoxm8pjbIaEyM3pjZWs4vmvl7,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-08-15,United Airlines,United Airlines,-500.0,False
WxMnJDgEQ1hBQDxaW3dBIKlBQxrXWGF6AjAEV,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-08-14,McDonald's,McDonald's,12.0,False
APVX1EbrGDhyJpr3e8ayIQV8koGgAWh9K5KPk,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-08-14,Starbucks,Starbucks,4.33,False
GMzXwDBalrfXl19PEjeXH3v8LE1XKAc6ror3N,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-08-13,SparkFun,FUN,89.4,False
nrDd4n1okqsP49yDqVbPsPgGr5L9d6fApQpbP,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ggXqpWZeyRHBAMnPKgwBIGzr7Krw6DUE9En1j,2025-08-17,CREDIT CARD 3333 PAYMENT *//,,25.0,False
bMXnpWQ4AbflAkEeg61lFlJxvakW15cmy7yqG,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ggXqpWZeyRHBAMnPKgwBIGzr7Krw6DUE9En1j,2025-08-12,INTRST PYMNT,,-4.22,False
mKDxJnZpzlUNaxoMl3bNcGx6Qrg8aougwXwJL,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,8rmX6EVL1nsv9kJ8AalvFbp1V31aWQFW5WLmx,2025-08-16,CD DEPOSIT .INITIAL.,,1000.0,False
y7K1dnzxQPfGnREymMpGUVqP94mok7i4LwLA4,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,EQKX7DExyqhbAoxm8pjbIaEGAMGXe6h4z4klX,2025-09-01,United Airlines,United Airlines,500.0,False
9z7XkENpLbhkg57yJpqkSpvA3rMq4nt4bgbDq,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,EQKX7DExyqhbAoxm8pjbIaEGAMGXe6h4z4klX,2025-08-27,Tectra Inc,,500.0,False
vNDQBn9zjaHmeJ1pbZ7mIwvbpgBdl7fq414Rn,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,EQKX7DExyqhbAoxm8pjbIaEGAMGXe6h4z4klX,2025-08-26,Madison Bicycle Shop,,500.0,False
RKMnBDXLN7UBN4KzqErBI4A5BKLbQRcarAr4G,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,EQKX7DExyqhbAoxm8pjbIaEGAMGXe6h4z4klX,2025-08-26,KFC,KFC,500.0,False
6q6DXENMZAIe69bkDv8eswmbN1rkEgf8MeM3G,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,EQKX7DExyqhbAoxm8pjbIaEGAMGXe6h4z4klX,2025-08-26,AUTOMATIC PAYMENT - THANK,,2078.5,False
XdGJoWElZLTjZJA4xqmjfv96aR7LrZibzLzE9,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,EQKX7DExyqhbAoxm8pjbIaEGAMGXe6h4z4klX,2025-08-15,Touchstone Climbing,,78.5,False
DeqXoDj3mlhDevWmJRPDSL9vrkqXyGC39J9QZ,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,WxMnJDgEQ1hBQDxaW3dBIKlojQoR56T6x61E6,2025-08-16,ACH Electronic CreditGUSTO PAY 123456,,5850.0,False
LkaXMDy7BdIyBNnmEvLyIalNPKVAxrCkXm9bE,dLXbg6aPnyHGn5oajqvGUGzar3Gr9aiZrQzd8,ozDabnNg3KhjmPE6KMbjfjgDx7DK1aioAo7yB,2025-07-31,Uber 072515 SF**POOL**,Uber,6.33,False
