row_type,as_of_end,cur_start,cur_end,prev_start,prev_end,headline,summary,name,value,delta_pct,label,spend,note,impact_usd,period
header,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,9/8 - 9/14: Weekly spend $142 (WoW -73.0%). Top driver: Transfers ($66).,Total Spend (WoW),142.19,-0.7299,,,,,WoW
metric,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,Weekly Spend,142.19,-72.99,,,,,WoW
metric,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,Monthly Spend to Date,668.59,-24.89,,,,,WoW
metric,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,Income Last Week,0.0,,,,,,WoW
metric,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,Income Month to Date,1084.36,,,,,,WoW
metric,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,Previous Weekly Spend,526.4,,,,,,WoW
driver,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,,,,Transfers,65.74,,,WoW
driver,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,,,,Services,60.0,,,WoW
driver,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,,,,Shopping,11.06,,,WoW
driver,2025-09-14,2025-09-08,2025-09-14,2025-09-01,2025-09-07,Significant Reduction in Weekly Spending,,,,,Home Improvement,5.39,,,WoW
header,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,"In September, we have successfully reduced our spending by approximately 24.9% compared to the same period in August. This is a notable achievement, especially considering the increase in income during the same timeframe. Our focus on cost management is yielding positive results.",Total Spend (MoM MTD),668.59,-0.2489,,,,,MoM
metric,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,Total Spend MTD,668.59,-24.89,,,,,MoM
metric,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,Total Income MTD,1084.36,,,,,,MoM
driver,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,,,,Shopping,464.86,,,MoM
driver,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,,,,Transfers,79.48,,,MoM
driver,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,,,,Services,60.0,,,MoM
driver,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,,,,Transportation,58.86,,,MoM
driver,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,,,,Home Improvement,5.39,,,MoM
risk,2025-09-14,2025-09-01,2025-09-14,2025-08-01,2025-08-14,Significant Spending Reduction in September,,,,,anomaly,,One anomaly detected in spending patterns this month.,,MoM
