Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/01/2025,09/02/2025,AMAZON MKTPLACE PMTS,Shopping,Return,39.00,
08/30/2025,08/31/2025,AMAZON MKTPL*A72M54S83,Shopping,Sale,-17.33,
08/30/2025,08/31/2025,AMAZON MKTPL*Y88WU35S3,Shopping,Sale,-28.78,
08/29/2025,08/31/2025,AMAZON MKTPL*AT9GU0Z73,Shopping,Sale,-2.16,
08/23/2025,08/24/2025,AMAZON MKTPL*8C2VO2AY3,Shopping,Sale,-24.04,
08/22/2025,08/24/2025,AMAZON MKTPL*PZ8KE82T3,Shopping,Sale,-9.49,
08/22/2025,08/24/2025,AMAZON MKTPL*391TP5593,Shopping,Sale,-19.30,
08/21/2025,08/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,76.65,
08/20/2025,08/21/2025,AMAZON MKTPL*0N5IZ6UE3,Shopping,Sale,-20.85,
08/17/2025,08/18/2025,WHOLEFDS TYA 10424,Groceries,Sale,-13.48,
08/17/2025,08/18/2025,Amazon.com,Shopping,Return,18.41,
08/17/2025,08/18/2025,AMAZON MKTPLACE PMTS,Shopping,Return,21.66,
08/16/2025,08/17/2025,AMAZON MKTPL*W70P17783,Shopping,Sale,-7.58,
08/17/2025,08/17/2025,AMAZON MKTPL*I35WM5423,Shopping,Sale,-20.85,
08/11/2025,08/12/2025,AMAZON MKTPL*2E34X9KZ3,Shopping,Sale,-65.76,
08/11/2025,08/12/2025,Amazon.com*OW0CN7AA3,Shopping,Sale,-64.87,
08/11/2025,08/12/2025,AMAZON MKTPL*GN2UK0RC3,Shopping,Sale,-7.58,
08/11/2025,08/12/2025,AMAZON PRIME*6E4NS0I43,Bills & Utilities,Sale,-14.99,
08/10/2025,08/11/2025,Amazon.com*UU6LS2V13,Shopping,Sale,-3.36,
08/10/2025,08/11/2025,AMAZON MKTPL*5N7ZE5DQ3,Shopping,Sale,-29.26,
08/09/2025,08/10/2025,Amazon.com*ZY1YS7HM3,Shopping,Sale,-18.41,
08/09/2025,08/10/2025,AMAZON MKTPL*YV90W3HM3,Shopping,Sale,-21.66,
08/09/2025,08/10/2025,AMAZON MKTPL*SL6N76HJ3,Shopping,Sale,-37.91,
08/06/2025,08/06/2025,AMAZON MKTPL*5G3SZ72W3,Shopping,Sale,-12.29,
08/02/2025,08/03/2025,AMAZON MKTPL*V54M91FP3,Shopping,Sale,-8.40,
08/02/2025,08/03/2025,Amazon.com*D047F1RM3,Shopping,Sale,-2.40,
07/26/2025,07/27/2025,AMAZON MKTPLACE PMTS,Shopping,Return,11.69,
07/27/2025,07/27/2025,AMAZON MKTPL*UI3Y94CK3,Shopping,Sale,-11.69,
07/25/2025,07/27/2025,AMAZON MKTPL*J79NX2CN3,Shopping,Sale,-48.76,
07/24/2025,07/25/2025,AMAZON MKTPL*2K9Q87OK3,Shopping,Sale,-33.59,
07/24/2025,07/25/2025,AMAZON MKTPL*CN66C8PL3,Shopping,Sale,-11.69,
07/23/2025,07/24/2025,AMAZON MKTPL*7P9MR1AC3,Shopping,Sale,-29.21,
07/23/2025,07/24/2025,AMAZON MKTPL*153AA8R83,Shopping,Sale,-20.58,
07/21/2025,07/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,517.26,
07/16/2025,07/17/2025,AMAZON MKTPL*VZ8V41UD3,Shopping,Sale,-10.16,
07/11/2025,07/13/2025,AMAZON PRIME*NL7SD17J1,Bills & Utilities,Sale,-14.99,
07/01/2025,07/02/2025,AMAZON MKTPL*N329D04W1,Shopping,Sale,-14.03,
06/28/2025,06/30/2025,WHOLEFDS SUM #10814,Groceries,Sale,-39.44,
06/22/2025,06/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,7.36,
06/22/2025,06/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,7.58,
06/22/2025,06/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,19.50,
06/22/2025,06/23/2025,AMAZON MKTPL*NQ81V1LD2,Shopping,Sale,-21.45,
06/20/2025,06/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,210.70,
06/16/2025,06/17/2025,AMAZON MKTPL*NA7637X20,Shopping,Sale,-18.41,
06/15/2025,06/16/2025,AMAZON MKTPL*NA59Z81M1,Shopping,Sale,-20.50,
06/11/2025,06/12/2025,AMAZON PRIME*NA4GD5G82,Bills & Utilities,Sale,-7.49,
06/10/2025,06/11/2025,AMAZON MKTPL*NH3FK3X31,Shopping,Sale,-19.50,
