Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/22/2025,08/22/2025,Payment Thank You-Mobile,,Payment,500.00,
08/20/2025,08/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,63.00,
07/29/2025,07/30/2025,BELLANOMI S,Shopping,Sale,-30.00,
07/23/2025,07/24/2025,TERRIBLE HERBST - 189,Automotive,Sale,-10.00,
07/20/2025,07/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,64.00,
07/16/2025,07/17/2025,ASOS.COM,Shopping,Return,40.65,
06/29/2025,06/30/2025,TERRIBLE HERBST - 189,Automotive,Sale,-10.00,
06/28/2025,06/29/2025,ASOS.COM,Shopping,Sale,-51.49,
06/20/2025,06/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,64.00,
06/09/2025,06/12/2025,US JIU JITSU FEDERATIO,Shopping,Sale,-40.00,
06/07/2025,06/08/2025,TERRIBLE HERBST - 189,Automotive,Sale,-10.00,
06/04/2025,06/05/2025,WALMART.COM 8009256278,Shopping,Sale,-25.65,
