Account Name : CREDIT CARD
Account Number : *2L40
Date Range : 03/04/2025-09/04/2025
Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,check Number,Fees,Principal,Interest
"20250818000000[-8:PST]*228.77*504**Payment Home Banking Transfer",08/18/2025,"Payment Home Banking Transfer ","From Share 80  Internet Access 08/18/2025 08:29 146755",,228.77,0.00,,0.00,228.77,0.00
"20250720000000[-8:PST]*-12.55*42**Purchase credit card",07/20/2025,"Purchase credit card ","RAISING CANES 0429 LAS VEGAS NV Date 07/19/25 24692165201109129165064 5814 %% Card 55 #9955 %% MCC 5814",-12.55,,228.77,,0.00,12.55,0.00
"20250719000000[-8:PST]*-100.03*42**Purchase credit card",07/19/2025,"Purchase credit card ","YARD HOUSE 0108327 LAS VEGAS NV Date 07/19/25 24431065200249221561494 5812 %% Card 55 #9955 %% MCC 5812",-100.03,,216.22,,0.00,100.03,0.00
"20250713000000[-8:PST]*-7.48*42**Purchase credit card",07/13/2025,"Purchase credit card ","TARGET 00008268 LAS VEGAS NV Date 07/12/25 24164075194091016139429 5310 %% Card 55 #9955 %% MCC 5310",-7.48,,116.19,,0.00,7.48,0.00
"20250701000000[-8:PST]*-17.76*42**Purchase credit card",07/01/2025,"Purchase credit card ","TARGET 00008268 LAS VEGAS NV Date 07/01/25 24164075182091016100508 5310 %% Card 55 #9955 %% MCC 5310",-17.76,,108.71,,0.00,17.76,0.00
"20250629000000[-8:PST]*-2.90*42**Purchase credit card",06/29/2025,"Purchase credit card ","THE HOME DEPOT #3301 LAS VEGAS NV Date 06/28/25 24943015180010203407738 5200 %% Card 55 #9955 %% MCC 5200",-2.90,,90.95,,0.00,2.90,0.00
"20250629000000[-8:PST]*-9.48*42**Purchase credit card",06/29/2025,"Purchase credit card ","SMITHS FOOD #4371 LAS VEGAS NV Date 06/28/25 24445005179300686080632 5411 %% Card 55 #9955 %% MCC 5411",-9.48,,88.05,,0.00,9.48,0.00
"20250628000000[-8:PST]*-15.00*42**Purchase credit card",06/28/2025,"Purchase credit card ","SQ *LAS VEGAS CONVENTIO Las Vegas NV Date 06/27/25 24692165179107777292170 4722 %% Card 55 #9955 %% MCC 4722",-15.00,,78.57,,0.00,15.00,0.00
"20250626000000[-8:PST]*-63.57*42**Purchase credit card",06/26/2025,"Purchase credit card ","76 - SPEEDEE MART 115 LAS VEGAS NV Date 06/26/25 24034545177005086441441 5542 %% Card 55 #9955 %% MCC 5542",-63.57,,63.57,,0.00,63.57,0.00
"20250621000000[-8:PST]*82.50*504**Payment Home Banking Transfer",06/21/2025,"Payment Home Banking Transfer ","From Share 80  Internet Access 06/21/2025 14:37 838326",,82.50,0.00,,0.00,81.37,1.13
"20250621000000[-8:PST]*25.00*504**Payment Transfer From Share 80",06/21/2025,"Payment Transfer From Share 80 ","",,25.00,81.37,,0.00,25.00,0.00
"20250524000000[-8:PST]*-82.40*42**Purchase credit card",05/24/2025,"Purchase credit card ","IPRIDE LAS VEGAS NV Date 05/23/25 24055235144348991661584 8999 %% Card 55 #9955 %% MCC 8999",-82.40,,106.37,,0.00,82.40,0.00
"20250512000000[-8:PST]*-23.97*42**Purchase credit card",05/12/2025,"Purchase credit card ","TARGET 00008268 LAS VEGAS NV Date 05/11/25 24164075131091016206422 5310 %% Card 55 #9955 %% MCC 5310",-23.97,,23.97,,0.00,23.97,0.00
"20250330000000[-8:PST]*13.83*504**Payment Home Banking Transfer",03/30/2025,"Payment Home Banking Transfer ","From Share 80  Internet Access 03/30/2025 01:36 387568",,13.83,0.00,,0.00,13.83,0.00
"20250329000000[-8:PST]*-13.83*42**Purchase credit card",03/29/2025,"Purchase credit card ","TARGET 00010777 WINSTON-SALEM NC Date 03/29/25 24164075088091016154146 5310 %% Card 55 #9955 %% MCC 5310",-13.83,,13.83,,0.00,13.83,0.00
