merchant_key,display_name,category,subcategory,tags,source,confidence,last_updated
BULLET LEGAL SERVI,BULLET LEGAL SERVICES,Fees,Legal Services,"legal,services,fees,consultation,law",azure,0.95,2025-09-11T04:11:06.624744
THAISPOON,THAI SPOON,Dining,Restaurant,"thai,food,dining,restaurant,takeout",azure,0.95,2025-09-11T04:11:06.624744
SPECTATION SPORTS,SPECTATION SPORTS,Entertainment,Sports Streaming,"sports,streaming,entertainment,media,live",azure,0.95,2025-09-11T04:11:06.624744
THAITASTE,THAI TASTE,Dining,Restaurant,"thai,food,dining,restaurant,cuisine",azure,0.95,2025-09-11T04:11:06.624744
BLAZE PIZZA,BLAZE PIZZA,Dining,Fast Casual,"pizza,dining,fast casual,restaurant,food",azure,0.95,2025-09-11T04:11:06.624744
OPENAI,OPENAI,Subscriptions,AI Services,"ai,technology,subscription,software,innovation",azure,0.95,2025-09-11T04:11:06.624744
PEINTOTHA,PAINTS & COATINGS,Shopping,Home Improvement,"paints,home,improvement,decor,supplies",azure,0.95,2025-09-11T04:11:06.624744
RAISING CANE'S CHICKEN FINGERS,RAISING CANE'S,Dining,Fast Food,"chicken,fast food,dining,restaurant,takeout",azure,0.95,2025-09-11T04:11:06.624744
YARD HOUSE,YARD HOUSE,Dining,Restaurant,"dining,restaurant,food,casual,bar",azure,0.95,2025-09-11T04:11:06.624744
PAYMENT TO OTHER PARTY USING TOKEN,TOKEN PAYMENT,Transfers,Peer-to-Peer Payment,"payment,transfer,token,digital,finance",azure,0.95,2025-09-11T04:11:06.624744
ARCHISTHA,ARCHISTHA,Education,Online Courses,"education,online,courses,learning,skills",azure,0.95,2025-09-11T04:11:06.624744
DEPOSIT SQUARE INC TYPE: SQ ID: DATA: T CO: SQUARE INC %% ACH ECC PPD %% ACH TRACE,SQUARE,Income,Payment Processing,"payments,income,business,transactions,finance",azure,0.95,2025-09-11T04:11:06.624744
THEBAR,THE BAR,Dining,Bar,"drinks,nightlife,entertainment,social,food",azure,0.95,2025-09-11T04:11:06.624744
CASHBACK BONUS REDEMPTION PYMT STMT CRDT,CASHBACK BONUS REDEMPTION,Income,Cashback,"cashback,bonus,credit,rewards,income",azure,0.95,2025-09-11T04:11:06.624744
UFC FIT CENTENNIAL,UFC FIT CENTENNIAL,Health,Fitness Center,"gym,fitness,health,training,wellness",azure,0.95,2025-09-11T04:11:06.624744
APPLE CARD,APPLE CARD,Finance,Credit Card,"credit,finance,apple,payments,rewards",azure,0.95,2025-09-11T04:11:06.624744
SMITH'S,SMITH'S FOOD AND DRUG,Groceries,Supermarket,"grocery,supermarket,food,shopping,retail",azure,0.95,2025-09-11T04:11:06.624744
THE HOME DEPOT,HOME DEPOT,Shopping,Home Improvement,"hardware,renovation,tools,building,supplies",azure,0.95,2025-09-11T04:11:06.624744
LAS VEGAS CONVENTIO,LAS VEGAS CONVENTION CENTER,Entertainment,Event Venue,"las vegas,convention,events,entertainment,venue",azure,0.95,2025-09-11T04:11:06.624744
FLETCHER JONES,FLETCHER JONES,Shopping,Automotive,"automobile,dealership,luxury,service,sales",azure,0.95,2025-09-11T04:11:06.624744
GAS STATIONS,SHELL,Gas,Gas Station,"fuel,gas,energy,transportation,convenience",azure,0.95,2025-09-11T04:11:06.624744
PAYMENT TRANSFER FROM SHARE,PAYMENT TRANSFER FROM SHARE,Transfers,Peer-to-Peer Payment,"transfer,payment,share,finance,money",azure,0.95,2025-09-11T04:11:06.624744
WITHDRAWAL TRANSFER TO LOAN,LOAN PAYMENT,Transfers,Loan Repayment,"transfer,loan,payment,finance,withdrawal",azure,0.95,2025-09-11T04:11:06.624744
KOSISONNA UGOCHU,KOSISONNA UGOCHU,Misc,Personal Services,"services,personal,miscellaneous",azure,0.95,2025-09-11T04:11:06.624744
OCHATHAIF,OCHA THAI,Dining,Restaurant,"thai,dining,food,restaurant,takeout",azure,0.95,2025-09-11T04:11:06.624744
TARGET PLUS,TARGET PLUS,Shopping,Retail,"retail,shopping,discounts,clothing,home",azure,0.95,2025-09-11T04:11:06.624744
